Alice:01.txt,Alice:02.txt,Alice:03.txt,Alice:04.txt,Alice:05.txt,Alice:06.txt,Alice:07.txt,Alice:08.txt,Alice:09.txt,Alice:10.txt,Emma:01.txt,Emma:02.txt,Emma:03.txt,Emma:04.txt,Emma:05.txt,Emma:06.txt,Emma:07.txt,Emma:08.txt,Emma:09.txt,Emma:10.txt,Robinson:01.txt,Robinson:02.txt,Robinson:03.txt,Robinson:04.txt,Robinson:05.txt,Robinson:06.txt,Robinson:07.txt,Robinson:08.txt,Robinson:09.txt,Robinson:10.txt
0,0.560559771,0.655743485,0.554602492,0.615207043,0.616503663,0.641045815,0.656225649,0.654685086,0.722551972,0.7527117,0.856541679,0.800529349,0.755281361,0.741930635,0.742467203,0.736608577,0.753534155,0.722553039,0.737668008,0.771162498,0.764397651,0.774926058,0.74835711,0.764026683,0.754468842,0.766368861,0.769964029,0.758252993,0.750272383
0.560559771,0,0.621192053,0.554469801,0.599706591,0.627744461,0.633266636,0.675621959,0.642440541,0.703571231,0.728213842,0.859642699,0.811881227,0.759231733,0.717830524,0.756449292,0.707653943,0.745140248,0.721776328,0.74094204,0.735089391,0.717938682,0.731462868,0.719267007,0.732895987,0.726463176,0.755699077,0.734803748,0.719200266,0.71240795
0.655743485,0.621192053,0,0.653075418,0.628554069,0.672711875,0.628713281,0.693562647,0.641723886,0.704792188,0.740514829,0.859241005,0.823910671,0.771408906,0.774063907,0.749916523,0.73536456,0.73842059,0.722534259,0.747103543,0.779922038,0.789997286,0.78738325,0.795786974,0.796658858,0.787277489,0.80156295,0.789979583,0.79039601,0.783684875
0.554602492,0.554469801,0.653075418,0,0.60972939,0.62998364,0.63759193,0.67073059,0.646426905,0.732376121,0.766369763,0.867597471,0.839800291,0.763606053,0.764319128,0.750337015,0.745369082,0.75827401,0.733970027,0.736867798,0.767494795,0.745306286,0.747595272,0.746294406,0.751819238,0.755882545,0.774023597,0.759258016,0.752379826,0.753780168
0.615207043,0.599706591,0.628554069,0.60972939,0,0.616667505,0.602045874,0.66699599,0.63263335,0.686669029,0.745409641,0.852425589,0.806940267,0.739093065,0.70351023,0.739342463,0.726304322,0.723110834,0.728551087,0.734562245,0.724831075,0.739503308,0.74315655,0.725698839,0.731696887,0.726999379,0.730383252,0.729906375,0.720421318,0.73517968
0.616503663,0.627744461,0.672711875,0.62998364,0.616667505,0,0.634087863,0.626937051,0.595024172,0.70272001,0.749037175,0.857526882,0.828367197,0.752381815,0.780340026,0.738343725,0.754004295,0.740356115,0.739636936,0.754914353,0.77056093,0.767870539,0.768572114,0.760808482,0.759488817,0.761757913,0.775004383,0.763672668,0.752996325,0.771497829
0.641045815,0.633266636,0.628713281,0.63759193,0.602045874,0.634087863,0,0.690380727,0.59234699,0.701633053,0.751055254,0.864420626,0.817266769,0.769484573,0.73023883,0.728906357,0.737601966,0.748197047,0.720481537,0.747613,0.765843733,0.754739715,0.760212616,0.746775958,0.753915684,0.754652283,0.772869681,0.758124559,0.743069139,0.749862527
0.656225649,0.675621959,0.693562647,0.67073059,0.66699599,0.626937051,0.690380727,0,0.626975321,0.730736242,0.798482266,0.865908678,0.828060597,0.786440034,0.811348,0.802605677,0.795425644,0.78473528,0.768075267,0.784953022,0.81884535,0.808957547,0.817405009,0.815725748,0.815355829,0.815700896,0.827034963,0.81357265,0.807248697,0.805997292
0.654685086,0.642440541,0.641723886,0.646426905,0.63263335,0.595024172,0.59234699,0.626975321,0,0.605639548,0.737000462,0.847130889,0.828750697,0.751613507,0.766123648,0.759486003,0.735363929,0.732675809,0.718138786,0.755270376,0.763378741,0.774606798,0.775816114,0.776508852,0.777232447,0.772197473,0.793345726,0.771219683,0.773624599,0.770779106
0.722551972,0.703571231,0.704792188,0.732376121,0.686669029,0.70272001,0.701633053,0.730736242,0.605639548,0,0.815337733,0.89412706,0.86407225,0.811478562,0.816487123,0.803797629,0.801550719,0.795136905,0.791440238,0.809159063,0.800685252,0.801843414,0.801343471,0.825197568,0.822130276,0.820600406,0.833237938,0.82448448,0.818337956,0.810635683
0.7527117,0.728213842,0.740514829,0.766369763,0.745409641,0.749037175,0.751055254,0.798482266,0.737000462,0.815337733,0,0.610262854,0.645937572,0.536683688,0.582492816,0.599946456,0.59924636,0.54207946,0.564408316,0.613135809,0.711002824,0.757457736,0.738161387,0.746505398,0.760089086,0.743128568,0.75196614,0.732299075,0.730365401,0.754385673
