same_book,other_book
0.511601444,0.63795348
0.511601444,0.639125152
0.532632816,0.642328457
0.532632816,0.643332449
0.536683688,0.643835522
0.536683688,0.64401366
0.54207946,0.648768735
0.54207946,0.650043263
0.542433403,0.652049193
0.542433403,0.653566614
0.56042997,0.658478264
0.56042997,0.659344651
0.561310166,0.659673775
0.561310166,0.664435887
0.56174505,0.664849473
0.56174505,0.665066417
0.562990251,0.667246621
0.562990251,0.671869307
0.564408316,0.674000164
0.564408316,0.675441826
0.567368208,0.676329785
0.567368208,0.679562222
0.574076211,0.680371112
0.574076211,0.680398485
0.576132946,0.682217399
0.576132946,0.683868339
0.576754179,0.683927699
0.576754179,0.684368218
0.578927965,0.685054556
0.578927965,0.685142361
0.581640419,0.685859299
0.581640419,0.688058308
0.581888389,0.688750685
0.581888389,0.69108856
0.582492816,0.691822072
0.582492816,0.692025918
0.58347685,0.69311946
0.58347685,0.69590748
0.584022129,0.697837711
0.584022129,0.69932415
0.584548023,0.701071156
0.584548023,0.704504954
0.588973554,0.705971844
0.588973554,0.706580049
0.591591873,0.706731904
0.591591873,0.707354631
0.59924636,0.707891852
0.59924636,0.708622579
0.599946456,0.709515576
0.599946456,0.710651777
0.600220346,0.713028544
0.600220346,0.716456612
0.600880099,0.717513829
0.600880099,0.717866403
0.602418688,0.718225248
0.602418688,0.718244902
0.603613917,0.722089935
0.603613917,0.722399392
0.608267813,0.722571118
0.608267813,0.723630899
0.610262854,0.725461106
0.610262854,0.725808159
0.613135809,0.726326559
0.613135809,0.727110004
0.614680585,0.727920487
0.614680585,0.729436354
0.616735516,0.729555078
0.616735516,0.731245858
0.619584727,0.731927091
0.619584727,0.737124107
0.622181942,0.737586462
0.622181942,0.737978361
0.622774601,0.738473001
0.622774601,0.741048914
0.623846253,0.741137912
0.623846253,0.741869422
0.62726192,0.742622446
0.62726192,0.742647059
0.632181677,0.74394981
0.632181677,0.746012796
0.635950623,0.746684405
0.635950623,0.752298726
0.636430465,0.752726681
0.636430465,0.757066463
0.63912973,0.759603006
0.63912973,0.759665688
0.639464468,0.75993397
0.639464468,0.760377653
0.641571047,0.760941877
0.641571047,0.76587623
0.643190788,0.772782103
0.643190788,0.773088794
0.645937572,0.776086509
0.645937572,0.781127475
0.647634974,0.788544412
0.647634974,0.7902635
0.651636558,0.795236014
0.651636558,0.806162587
0.657355664,0.8109319
0.657355664,0.819286616
0.658838621,
0.658838621,
0.65912025,
0.65912025,
0.659588211,
0.659588211,
0.661848461,
0.661848461,
0.662621707,
0.662621707,
0.663046581,
0.663046581,
0.666564895,
0.666564895,
0.66896645,
0.66896645,
0.671637412,
0.671637412,
0.673967731,
0.673967731,
0.674165784,
0.674165784,
0.675615146,
0.675615146,
0.682458906,
0.682458906,
0.682522441,
0.682522441,
0.683227434,
0.683227434,
0.685466707,
0.685466707,
0.688236949,
0.688236949,
0.689262185,
0.689262185,
0.691144755,
0.691144755,
0.693309023,
0.693309023,
0.700917179,
0.700917179,
0.701048951,
0.701048951,
0.70226291,
0.70226291,
0.704708486,
0.704708486,
0.70727657,
0.70727657,
0.710900346,
0.710900346,
0.712447399,
0.712447399,
0.712787213,
0.712787213,
0.713440534,
0.713440534,
0.713716392,
0.713716392,
0.715545838,
0.715545838,
0.719099071,
0.719099071,
0.724643083,
0.724643083,
0.725040061,
0.725040061,
0.727783073,
0.727783073,
0.734489744,
0.734489744,
0.737657932,
0.737657932,
0.740073414,
0.740073414,
0.745869617,
0.745869617,
0.778764314,
0.778764314,
