same_book,other_book
0.686669029,0.751578078
0.686669029,0.751578078
0.688236949,0.751613507
0.688236949,0.751613507
0.690380727,0.751819238
0.690380727,0.751819238
0.693309023,0.75196614
0.693309023,0.75196614
0.693562647,0.752019242
0.693562647,0.752019242
0.700917179,0.752106042
0.700917179,0.752106042
0.701633053,0.752379826
0.701633053,0.752379826
0.70226291,0.752381815
0.70226291,0.752381815
0.70272001,0.7527117
0.70272001,0.7527117
0.703571231,0.752996325
0.703571231,0.752996325
0.704792188,0.753534155
0.704792188,0.753534155
0.712447399,0.753780168
0.712447399,0.753780168
0.713440534,0.753915684
0.713440534,0.753915684
0.719099071,0.754004295
0.719099071,0.754004295
0.722551972,0.75413793
0.722551972,0.75413793
0.724643083,0.754385673
0.724643083,0.754385673
0.725040061,0.754468842
0.725040061,0.754468842
0.730736242,0.754652283
0.730736242,0.754652283
0.732376121,0.754739715
0.732376121,0.754739715
,0.754914353
,0.754914353
,0.754964045
,0.754964045
,0.755270376
,0.755270376
,0.755281361
,0.755281361
,0.755699077
,0.755699077
,0.755882545
,0.755882545
,0.756449292
,0.756449292
,0.757457736
,0.757457736
,0.758124559
,0.758124559
,0.758252993
,0.758252993
,0.75827401
,0.75827401
,0.759043212
,0.759043212
,0.759231733
,0.759231733
,0.759258016
,0.759258016
,0.759470109
,0.759470109
,0.759486003
,0.759486003
,0.759488817
,0.759488817
,0.760089086
,0.760089086
,0.760212616
,0.760212616
,0.760612268
,0.760612268
,0.760808482
,0.760808482
,0.761069399
,0.761069399
,0.761757913
,0.761757913
,0.762083001
,0.762083001
,0.763378741
,0.763378741
,0.763606053
,0.763606053
,0.763672668
,0.763672668
,0.763700393
,0.763700393
,0.764026683
,0.764026683
,0.764319128
,0.764319128
,0.764397651
,0.764397651
,0.765059319
,0.765059319
,0.765843733
,0.765843733
,0.766068173
,0.766068173
,0.766123648
,0.766123648
,0.766368861
,0.766368861
,0.766369763
,0.766369763
,0.767237606
,0.767237606
,0.767494795
,0.767494795
,0.767778933
,0.767778933
,0.767870539
,0.767870539
,0.768075267
,0.768075267
,0.768572114
,0.768572114
,0.769397689
,0.769397689
,0.769484573
,0.769484573
,0.769563378
,0.769563378
,0.769852127
,0.769852127
,0.769964029
,0.769964029
,0.77056093
,0.77056093
,0.770567244
,0.770567244
,0.770779106
,0.770779106
,0.771162498
,0.771162498
,0.771219683
,0.771219683
,0.771365515
,0.771365515
,0.771408906
,0.771408906
,0.771497829
,0.771497829
,0.771781229
,0.771781229
,0.772129883
,0.772129883
,0.772197473
,0.772197473
,0.772869681
,0.772869681
,0.773624599
,0.773624599
,0.774023597
,0.774023597
,0.774063907
,0.774063907
,0.774606798
,0.774606798
,0.774889282
,0.774889282
,0.774926058
,0.774926058
,0.774958338
,0.774958338
,0.775004383
,0.775004383
,0.775123441
,0.775123441
,0.775816114
,0.775816114
,0.776508852
,0.776508852
,0.776788097
,0.776788097
,0.777232447
,0.777232447
,0.778698356
,0.778698356
,0.779922038
,0.779922038
,0.780340026
,0.780340026
,0.781004521
,0.781004521
,0.781106422
,0.781106422
,0.78280765
,0.78280765
,0.783657826
,0.783657826
,0.783684875
,0.783684875
,0.784587907
,0.784587907
,0.78473528
,0.78473528
,0.784953022
,0.784953022
,0.786440034
,0.786440034
,0.787277489
,0.787277489
,0.78738325
,0.78738325
,0.789979583
,0.789979583
,0.789997286
,0.789997286
,0.79039601
,0.79039601
,0.791440238
,0.791440238
,0.793345726
,0.793345726
,0.795136905
,0.795136905
,0.795425644
,0.795425644
,0.795786974
,0.795786974
,0.796658858
,0.796658858
,0.796759983
,0.796759983
,0.798482266
,0.798482266
,0.799981199
,0.799981199
,0.800529349
,0.800529349
,0.800685252
,0.800685252
,0.801343471
,0.801343471
,0.801550719
,0.801550719
,0.80156295
,0.80156295
,0.801843414
,0.801843414
,0.802605677
,0.802605677
,0.803583505
,0.803583505
,0.803624206
,0.803624206
,0.803797629
,0.803797629
,0.805997292
,0.805997292
,0.806940267
,0.806940267
,0.807248697
,0.807248697
,0.807508431
,0.807508431
,0.807590968
,0.807590968
,0.808957547
,0.808957547
,0.809159063
,0.809159063
,0.810635683
,0.810635683
,0.811348
,0.811348
,0.811478562
,0.811478562
,0.811881227
,0.811881227
,0.81357265
,0.81357265
,0.814942934
,0.814942934
,0.815337733
,0.815337733
,0.815355829
,0.815355829
,0.815700896
,0.815700896
,0.815725748
,0.815725748
,0.816487123
,0.816487123
,0.817266769
,0.817266769
,0.817405009
,0.817405009
,0.818337956
,0.818337956
,0.81884535
,0.81884535
,0.820600406
,0.820600406
,0.820678813
,0.820678813
,0.822130276
,0.822130276
,0.822478908
,0.822478908
,0.823910671
,0.823910671
,0.82448448
,0.82448448
,0.825197568
,0.825197568
,0.825674205
,0.825674205
,0.827034963
,0.827034963
,0.827139215
,0.827139215
,0.828060597
,0.828060597
,0.828367197
,0.828367197
,0.82868083
,0.82868083
,0.828750697
,0.828750697
,0.829156266
,0.829156266
,0.829475226
,0.829475226
,0.832399858
,0.832399858
,0.833237938
,0.833237938
,0.838899603
,0.838899603
,0.839800291
,0.839800291
,0.840900171
,0.840900171
,0.841250056
,0.841250056
,0.847130889
,0.847130889
,0.848789344
,0.848789344
,0.852425589
,0.852425589
,0.856541679
,0.856541679
,0.857526882
,0.857526882
,0.859241005
,0.859241005
,0.859642699
,0.859642699
,0.86407225
,0.86407225
,0.864420626
,0.864420626
,0.865908678
,0.865908678
,0.867597471
,0.867597471
,0.89412706
,0.89412706
